1654739611.698072,1
1654739611.805071,5
1654739611.909822,11
1654739612.016499,12
1654739612.121041,12
1654739612.225509,12
1654739612.330060,13
1654739612.434380,13
1654739612.541669,11
1654739612.646517,7
1654739612.759282,6
1654739612.864662,6
1654739612.969478,12
1654739613.073645,12
1654739613.178220,12
1654739613.281934,12
1654739613.388771,16
1654739613.493259,14
1654739613.602521,13
1654739613.707591,12
1654739613.812669,13
1654739613.917210,12
1654739614.024661,10
1654739614.128604,10
1654739614.232436,10
1654739614.335896,12
1654739614.463585,9
1654739614.570616,10
1654739614.674187,11
1654739614.777467,10
1654739614.881456,9
1654739614.988740,10
1654739615.124210,11
1654739615.228881,10
1654739615.334710,10
1654739615.440052,11
1654739615.544374,11
1654739615.648726,10
1654739615.752888,9
1654739615.859495,10
1654739615.963721,12
1654739616.067619,10
1654739616.171714,10
1654739616.275876,11
1654739616.380745,8
1654739616.485183,7
1654739616.589571,8
1654739616.694510,9
1654739616.798956,8
1654739616.903449,7
1654739617.008560,9
1654739617.112853,9
1654739617.217594,9
1654739617.322001,9
1654739617.426503,9
1654739617.531057,10
1654739617.635313,9
1654739617.739662,9
1654739617.844144,10
1654739617.948785,11
1654739618.090924,10
1654739618.194484,10
1654739618.305945,12
1654739618.414067,14
1654739618.521824,10
1654739618.652809,11
1654739618.756864,11
1654739618.861002,10
1654739618.964917,8
1654739619.073740,8
1654739619.178590,9
1654739619.282918,7
1654739619.387763,7
1654739619.492310,8
1654739619.598023,6
1654739619.703663,7
1654739619.809553,7
1654739619.916584,8
1654739620.024697,9
1654739620.128989,6
1654739620.233513,6
1654739620.337816,6
1654739620.442106,8
1654739620.546106,6
1654739620.651448,6
1654739620.755268,6
1654739620.861124,7
1654739620.969368,6
1654739621.074019,6
1654739621.180665,7
1654739621.286198,6
1654739621.391470,5
1654739621.495963,6
1654739621.600285,7
1654739621.704038,5
1654739621.807911,5
1654739621.912132,0
1654739622.016317,1
1654739622.124328,1
1654739622.232757,2
1654739622.337573,3
1654739622.444136,5
1654739622.548680,5
1654739622.656732,7
1654739622.760824,8
1654739622.864900,8
1654739622.969373,10
1654739623.073487,10
1654739623.178183,12
1654739623.296770,11
1654739623.404541,10
1654739623.508703,10
1654739623.612635,11
1654739623.716516,11
1654739623.820401,13
1654739623.923858,14
1654739624.027694,11
1654739624.134499,11
1654739624.240284,10
1654739624.345063,11
1654739624.449764,11
1654739624.555600,11
1654739624.662003,11
1654739624.796861,11
1654739624.901115,11
1654739625.008712,12
1654739625.116665,10
1654739625.222271,11
1654739625.327165,9
1654739625.432742,10
1654739625.537120,9
1654739625.641266,9
1654739625.745970,8
1654739625.850641,9
1654739625.955714,10
1654739626.060120,12
1654739626.164570,9
1654739626.268938,9
1654739626.374233,8
1654739626.481967,7
1654739626.592912,6
1654739626.697633,7
1654739626.804756,10
1654739626.909466,8
1654739627.014191,8
1654739627.118929,8
